Place_Name,Date,Road_Type,Day_Type,Weather,Morning_Traffic,Afternoon_Traffic,Evening_Traffic,Night_Traffic,Peak_Hour_Traffic,Two_Wheelers,Cars,Auto_Rickshaws,Buses,Trucks,Heavy_Vehicles_Total,Avg_Speed_kmph,Signal_Delay_sec,Accident_Count,Accident_Level,Noise_Level_dB,Air_Quality_Index,CO2_Emission_Index,Road_Width_m,Lane_Count,Pedestrian_Count,Parking_Occupancy_%,School_Zone,Hospital_Nearby,Market_Nearby,Bus_Stop_Nearby,CCTV_Available,Street_Light,Violation_Count,Rainfall_mm,Temperature_C,Holiday,Road_Work,Public_Event,Traffic_Police_Presence,Congestion_Level,Overall_Traffic_Index,Emergency_Response_Time_min,Fuel_Consumption_Index,Road_Condition_Index,Min_Speed_kmph,Max_Speed_kmph,Average_Waiting_Time_sec,Signal_Count,Signal_Status
Kavindapadi,2023-01-11,SH,Weekend,Hot,1836,1404,1134,1310,4422,1341,1575,317,354,226,346,25,240,2,Major,93,161,177,14,1,1012,59,1,1,0,1,1,1,46,61,35,1,0,0,0,Medium,79,23,137,45,23,91,36,8,Poor
Modakurichi,2023-01-12,SH,Weekday,Fog,1385,2965,2511,1409,3982,1493,306,464,368,231,837,66,227,0,Major,79,181,97,28,4,585,47,1,0,0,1,0,0,22,102,28,0,0,1,1,Medium,30,44,51,67,20,69,23,8,Poor
Sathyamangalam,2023-01-13,Village Road,Weekday,Fog,2578,3183,2746,731,1430,1073,1615,319,137,594,342,47,185,4,Major,80,50,86,14,5,577,62,1,0,1,0,1,0,29,113,28,1,1,0,0,Low,53,20,80,67,13,80,147,5,Good
Solar,2023-01-14,Village Road,Weekend,Hot,1091,1369,2558,414,3445,1154,1221,546,313,442,188,67,151,4,,93,88,153,24,5,1145,96,1,0,0,0,1,1,30,106,23,1,0,0,1,Low,44,42,31,90,11,83,170,5,Good
Bhavani Sagar,2023-01-15,NH,Weekend,Clear,650,2466,1128,1356,4357,953,1886,55,89,158,894,69,28,1,Major,52,267,187,7,5,341,42,0,0,1,0,0,1,1,58,39,0,1,1,0,Low,49,5,125,64,21,92,255,4,Average
Sathyamangalam,2023-01-16,City Road,Weekday,Rainy,787,3465,2102,1098,1507,2416,1062,754,297,570,637,61,10,3,Major,67,223,183,18,5,342,93,0,0,1,1,1,0,40,51,34,1,0,0,0,High,79,24,90,61,20,45,327,9,Good
Sivagiri,2023-01-17,Village Road,Weekend,Rainy,1833,701,1249,703,4301,1636,299,406,307,324,556,52,132,4,,68,63,88,15,4,301,94,1,1,1,1,0,0,6,104,34,0,1,1,0,High,33,28,84,78,14,45,386,2,Poor
Ammapet,2023-01-18,NH,Weekend,Rainy,1264,3305,2076,902,3495,2086,844,397,34,502,387,28,163,1,Minor,71,171,101,11,5,975,24,1,1,1,1,1,1,28,70,29,1,1,0,1,Medium,69,20,61,83,21,54,108,6,Poor
Ammapet,2023-01-19,Village Road,Weekday,Hot,2178,1341,1558,239,4292,881,469,726,210,473,536,60,226,4,Minor,55,95,190,5,5,110,35,1,1,1,0,0,1,6,57,20,0,0,0,0,High,33,14,54,80,16,40,292,8,Poor
Perundurai,2023-01-20,NH,Weekend,Clear,821,773,2683,540,4503,1557,502,744,181,316,725,36,65,0,Minor,70,250,177,18,4,343,21,1,0,0,1,1,1,12,31,21,0,1,1,0,Medium,63,42,77,67,14,80,314,5,Average
Modakurichi,2023-01-21,NH,Weekend,Fog,1877,1356,3132,1240,3679,743,1477,407,309,176,732,24,278,3,,59,240,119,12,4,990,58,1,1,1,1,0,0,35,60,20,0,0,0,1,High,52,12,147,68,29,79,386,2,Average
Sathyamangalam,2023-01-22,SH,Weekday,Hot,2150,2253,3863,545,3125,1923,390,424,85,536,358,62,208,2,,91,89,77,24,5,1146,21,0,0,1,0,1,1,36,77,22,0,1,1,1,High,52,8,79,42,13,59,206,6,Average
Arachalur,2023-01-23,NH,Weekend,Clear,314,2559,3252,940,4742,1366,731,344,142,186,666,48,186,0,,73,238,115,9,2,1098,48,0,0,0,0,1,1,23,62,29,1,1,0,0,High,98,39,107,65,25,40,74,6,Poor
Alangiyam,2023-01-24,SH,Weekend,Cloudy,453,3374,1294,1062,1626,1329,153,630,213,339,505,28,35,1,,91,290,140,23,2,494,95,1,1,0,0,1,1,18,99,39,0,1,1,1,High,81,19,103,96,7,48,178,3,Average
Solar,2023-01-25,SH,Weekday,Clear,496,2967,1582,1148,2209,2106,449,152,241,395,384,54,244,4,Minor,63,65,105,29,4,371,20,0,1,0,0,0,0,6,12,35,0,1,1,1,High,72,17,50,65,16,66,183,2,Good
Thalavadi,2023-01-26,City Road,Weekend,Fog,1178,3371,1334,1236,3905,2114,270,630,352,366,193,43,146,0,Major,90,212,66,23,4,232,37,0,1,0,1,0,0,42,55,40,0,1,1,1,Low,69,34,82,40,27,74,60,6,Good
Chennimalai,2023-01-27,City Road,Weekend,Rainy,1866,1089,2215,1004,4399,1718,305,628,236,105,149,50,197,3,,47,174,175,18,3,812,43,1,1,1,0,1,0,33,47,22,1,0,0,0,Medium,63,23,122,85,23,79,50,9,Good
Thalavadi,2023-01-28,NH,Weekday,Rainy,1293,2419,2656,1313,2388,1197,1156,575,63,54,268,51,92,2,,64,281,94,20,2,545,68,1,0,0,1,1,0,22,23,31,1,1,0,0,Low,84,31,105,83,21,45,346,5,Average
Solar,2023-01-29,City Road,Weekend,Cloudy,2379,3496,1683,470,1790,905,1881,135,225,168,879,50,23,2,Minor,84,191,68,15,5,1049,89,1,0,0,1,1,1,27,32,31,1,0,0,0,High,61,6,140,71,13,88,162,1,Average
Thalavadi,2023-01-30,City Road,Weekend,Hot,2468,710,741,429,4079,1675,840,516,388,331,588,57,54,1,Major,86,189,129,28,2,395,67,0,1,0,0,1,1,16,92,33,1,0,0,1,Low,61,36,114,85,27,89,122,3,Good
Punjai Puliyampatti,2023-01-31,City Road,Weekend,Fog,2460,2466,988,962,1813,1638,518,292,140,119,196,37,191,4,Major,63,174,115,21,2,258,41,1,0,0,0,1,1,48,37,41,0,1,0,1,Medium,97,38,35,62,23,98,330,7,Poor
Perundurai,2023-02-01,City Road,Weekday,Rainy,2985,1859,3220,480,4292,1810,402,474,243,528,538,60,295,3,Minor,82,59,49,20,5,342,13,0,0,1,0,0,0,16,1,37,1,1,1,1,Low,32,24,131,95,23,85,192,9,Average
Sathyamangalam,2023-02-02,NH,Weekend,Rainy,332,2407,1664,1013,2893,1376,1758,527,381,210,318,58,239,0,Minor,78,172,86,18,3,1164,85,0,1,1,1,0,1,43,12,29,0,0,0,0,Medium,31,36,54,84,8,54,203,5,Poor
Vellode,2023-02-03,City Road,Weekday,Clear,2551,2420,1583,1448,3581,1030,977,631,397,418,434,54,209,2,Minor,75,123,102,19,5,773,90,0,0,0,1,1,0,9,106,28,0,1,1,1,High,67,23,118,70,8,56,286,4,Average
Thalavadi,2023-02-04,NH,Weekend,Cloudy,1164,1856,3483,358,3639,1360,999,522,239,350,667,39,10,2,Minor,85,291,151,26,3,456,86,0,1,1,1,0,1,14,60,38,1,0,1,0,Low,82,22,59,61,12,75,115,9,Poor
Ammapet,2023-02-05,Village Road,Weekend,Clear,746,2428,2345,430,3069,2232,411,700,325,409,235,38,177,0,Minor,95,117,186,7,4,113,22,1,1,1,0,1,1,15,102,33,0,0,1,0,High,69,21,79,57,8,55,216,1,Average
Kavindapadi,2023-02-06,City Road,Weekday,Fog,1991,1762,3693,1085,4082,804,1259,689,31,543,843,66,181,3,,61,103,114,27,3,55,69,1,1,0,1,1,1,22,25,27,1,1,1,1,Low,77,32,146,58,27,98,336,2,Poor
Nambiyur,2023-02-07,Village Road,Weekday,Rainy,2790,1504,1558,1334,4684,242,763,577,116,519,572,41,88,3,,45,155,77,14,3,549,88,0,0,1,1,0,0,8,16,40,1,0,0,0,Medium,69,18,129,58,20,84,217,9,Good
Sivagiri,2023-02-08,Village Road,Weekday,Cloudy,2916,2352,1425,608,3246,1529,424,727,280,378,462,65,195,3,Major,63,190,79,14,2,885,22,0,0,0,0,0,0,26,60,37,0,1,0,0,Medium,83,17,123,85,14,89,70,2,Good
Vellode,2023-02-09,Village Road,Weekend,Hot,1354,2955,1462,1053,3987,526,863,606,279,265,97,22,67,3,,71,266,47,13,4,507,41,0,1,0,0,1,1,38,12,28,0,0,0,1,Medium,80,25,71,99,8,63,272,4,Poor
Bhavani Sagar,2023-02-10,NH,Weekend,Cloudy,1191,2244,714,884,1084,2107,352,326,217,96,139,34,202,4,,60,148,70,22,2,720,53,1,1,0,1,1,0,32,86,32,1,0,1,0,High,40,40,51,51,14,51,107,1,Good
Anthiyur,2023-02-11,City Road,Weekday,Rainy,1378,1561,708,1319,3518,1141,1272,350,161,89,666,29,181,0,,95,192,63,19,2,602,53,0,1,0,1,0,1,11,72,24,0,1,0,1,Medium,68,15,107,66,18,82,47,3,Poor
Ammapet,2023-02-12,NH,Weekday,Clear,2470,2800,670,611,4790,1631,1353,313,241,485,849,43,191,0,,51,299,106,23,4,258,44,0,1,0,0,0,1,15,107,31,1,1,1,0,Low,48,27,77,92,14,54,32,9,Good
Alangiyam,2023-02-13,SH,Weekday,Hot,734,3034,639,1371,4349,1796,683,142,193,158,558,64,45,0,,88,244,125,17,5,1170,53,0,1,1,1,1,1,13,18,39,1,0,1,0,Low,42,31,80,40,26,44,377,3,Poor
Arachalur,2023-02-14,SH,Weekend,Fog,1256,1730,2385,364,3164,702,1532,701,270,162,257,35,292,4,,80,177,177,10,1,610,41,1,1,0,0,0,1,0,93,25,0,1,0,1,High,32,23,50,46,29,52,195,7,Average
Anthiyur,2023-02-15,SH,Weekend,Hot,1837,612,3953,512,1977,1597,272,62,127,406,257,45,169,3,,82,112,152,25,4,1008,55,1,0,1,1,0,0,33,43,24,1,1,0,1,Low,57,6,55,88,27,52,163,4,Good
Ammapet,2023-02-16,Village Road,Weekend,Cloudy,2939,1863,2430,1497,3908,566,1048,570,93,142,766,58,143,4,,55,195,124,29,5,210,81,0,0,0,0,1,1,14,14,37,0,0,0,1,Low,54,35,58,62,8,40,347,4,Poor
Perundurai,2023-02-17,NH,Weekend,Clear,514,1716,1783,1393,3242,2147,527,322,54,427,484,20,108,3,Minor,57,246,98,19,2,537,51,0,1,0,0,0,0,31,68,36,1,0,0,1,Medium,87,24,88,47,17,44,37,3,Average
Nasiyanur,2023-02-18,City Road,Weekend,Clear,2378,981,1450,677,2608,2171,1671,536,267,399,178,38,299,2,Major,80,135,70,23,5,667,31,1,0,0,0,1,0,49,62,37,1,0,0,1,Medium,79,8,94,80,25,47,131,6,Good
Erode,2023-02-19,SH,Weekday,Cloudy,2153,2131,2234,1273,4498,422,270,174,230,350,483,18,16,1,,94,94,80,23,3,911,30,0,0,0,1,0,1,36,88,34,0,0,1,1,High,74,20,70,50,6,67,79,8,Poor
Punjai Puliyampatti,2023-02-20,NH,Weekend,Cloudy,1824,1188,1586,1462,3045,2167,721,338,336,130,802,64,279,4,Minor,47,149,45,8,2,149,77,0,1,0,1,0,0,0,46,34,1,0,1,0,Low,57,23,36,53,18,80,348,5,Average
Chennimalai,2023-02-21,NH,Weekend,Cloudy,716,1731,1875,362,1380,888,1132,796,117,204,899,46,237,4,Minor,81,179,151,7,5,210,80,0,0,1,1,1,1,39,51,27,1,1,0,1,Medium,84,23,110,41,19,80,170,6,Good
Sathyamangalam,2023-02-22,SH,Weekend,Clear,913,2410,3240,368,1146,2464,1593,318,161,347,569,33,186,0,,91,55,173,16,1,671,49,0,0,1,0,1,0,22,48,38,0,1,0,0,High,32,44,98,79,11,47,381,1,Good
Anthiyur,2023-02-23,City Road,Weekday,Fog,1635,2021,3911,1240,1957,2011,389,303,324,278,439,65,126,1,Minor,55,131,156,16,4,470,92,1,1,0,1,1,1,2,14,36,1,1,0,0,Medium,66,41,98,54,24,55,278,4,Average
Vellode,2023-02-24,SH,Weekend,Rainy,640,441,884,1311,3820,582,1013,193,304,312,304,29,35,1,Minor,83,297,101,22,2,186,56,1,1,0,0,0,1,11,61,28,1,1,1,0,Medium,48,24,74,84,14,75,387,4,Poor
Punjai Puliyampatti,2023-02-25,Village Road,Weekend,Clear,1514,835,1618,554,3350,2000,1077,767,86,543,729,56,68,3,Minor,54,184,56,5,5,204,96,1,0,1,1,0,1,21,89,24,0,0,1,1,Low,71,18,69,65,7,58,206,4,Good
Bhavani,2023-02-26,NH,Weekend,Fog,1798,2983,2093,1153,2772,2222,1846,546,257,432,131,44,185,0,Major,89,254,192,24,2,675,23,1,1,1,0,1,1,15,45,30,0,0,1,1,High,45,16,113,58,18,47,239,9,Poor
Modakurichi,2023-02-27,SH,Weekday,Cloudy,1839,1685,3921,457,3097,1159,366,115,56,451,671,21,271,3,,62,111,51,9,3,701,25,0,1,0,0,1,1,16,37,37,0,0,1,1,High,59,13,92,63,8,59,101,3,Average
Sivagiri,2023-02-28,SH,Weekend,Cloudy,991,923,1554,579,3357,388,1948,526,224,195,196,68,92,4,,64,164,129,19,1,238,67,0,0,1,1,1,1,36,90,24,1,0,1,0,High,78,14,85,56,20,58,59,7,Good
Thalavadi,2023-03-01,City Road,Weekend,Rainy,2014,3221,805,644,2027,582,183,288,71,108,580,36,66,0,Minor,57,60,167,16,5,700,74,1,1,0,0,0,0,46,89,30,0,1,0,1,Low,65,21,135,77,7,86,137,8,Average
Sivagiri,2023-03-02,NH,Weekday,Cloudy,2432,2313,3386,1090,3289,2044,492,780,272,491,318,27,152,4,,89,97,42,12,2,398,95,0,0,0,0,1,1,43,106,38,0,0,0,1,High,72,12,96,64,22,49,370,8,Average
Kodumudi,2023-03-03,Village Road,Weekend,Hot,2354,3148,1987,945,2083,2369,323,526,243,107,241,30,100,1,Major,93,137,44,24,1,832,18,1,1,0,1,0,1,18,24,33,0,1,1,1,Medium,70,21,37,53,9,69,38,1,Good
Poondurai,2023-03-04,NH,Weekend,Rainy,1082,471,2642,1272,4548,999,1023,61,103,236,390,28,61,1,,70,212,178,8,5,79,46,1,1,0,1,0,1,44,75,24,1,1,1,0,High,37,10,52,63,20,83,226,5,Good
Kavindapadi,2023-03-05,City Road,Weekend,Clear,1399,1025,3432,919,3311,1544,228,288,304,573,382,41,21,2,,95,206,105,19,4,596,21,1,0,1,0,1,1,6,56,40,1,0,1,0,Low,57,5,38,77,20,98,68,3,Poor
Ammapet,2023-03-06,NH,Weekday,Hot,2893,1393,2072,1492,1837,515,330,278,167,589,301,34,125,3,Minor,72,200,195,8,4,686,35,1,0,1,0,1,0,8,35,26,0,0,1,0,Medium,38,42,99,40,28,46,274,5,Average
Bhavani Sagar,2023-03-07,NH,Weekday,Hot,1222,1237,2357,442,1408,1149,159,387,271,452,803,47,263,2,Minor,51,118,125,21,1,586,13,0,0,0,0,0,1,4,86,26,0,1,0,0,Medium,72,9,55,92,15,78,98,8,Poor
Punjai Puliyampatti,2023-03-08,SH,Weekend,Fog,1655,2337,3287,666,2757,2305,1416,623,123,440,639,22,27,3,Minor,66,69,89,21,4,663,75,0,1,0,1,1,0,20,86,28,1,0,1,1,High,71,44,65,94,19,73,23,6,Good
Erode,2023-03-09,SH,Weekday,Fog,2690,594,2877,347,4769,2195,1990,360,176,137,533,36,215,1,,50,138,69,14,5,331,82,0,0,0,0,0,0,9,49,40,1,1,0,1,Low,47,41,149,79,24,75,308,9,Average
Alangiyam,2023-03-10,City Road,Weekend,Clear,1205,1277,3343,678,1597,1632,1885,311,191,132,681,62,75,0,Minor,51,276,108,10,1,211,70,1,0,0,0,1,1,44,89,26,1,0,1,0,Low,63,19,59,69,13,81,139,8,Good
Sivagiri,2023-03-11,NH,Weekday,Cloudy,2126,578,1372,1049,3742,996,1116,365,352,378,386,16,97,1,Major,45,277,162,19,4,157,99,1,0,0,1,1,1,4,81,38,0,1,1,0,Medium,83,36,146,67,28,99,93,8,Good
Punjai Puliyampatti,2023-03-12,NH,Weekend,Hot,2705,3035,2322,506,4093,268,1005,765,237,50,663,35,189,2,Major,95,236,146,22,5,567,26,1,1,1,1,0,1,9,3,23,0,1,0,1,High,63,13,121,76,8,78,252,1,Good
Modakurichi,2023-03-13,SH,Weekday,Clear,1186,697,3075,449,1584,1019,1896,212,202,296,195,25,112,1,Major,87,299,150,25,2,328,55,0,1,0,0,1,0,32,16,39,0,0,1,1,Medium,94,26,131,48,16,86,281,4,Good
Kavindapadi,2023-03-14,City Road,Weekend,Rainy,2711,2197,2875,720,4098,2091,1106,597,174,461,534,24,39,4,,49,68,196,25,1,435,26,0,0,1,1,1,0,27,1,38,1,0,0,0,High,45,20,138,93,19,71,199,9,Poor
Thalavadi,2023-03-15,City Road,Weekday,Clear,1491,2441,2890,757,2856,341,959,768,127,519,125,27,271,0,Major,59,219,104,26,4,707,83,0,1,1,0,0,0,18,118,30,0,1,1,0,Low,99,26,142,58,14,85,342,5,Average
Ammapet,2023-03-16,Village Road,Weekday,Rainy,2204,894,2834,994,806,690,1428,332,123,279,713,34,291,3,Major,86,212,91,13,5,206,90,1,0,1,0,1,1,16,9,38,1,1,1,0,High,63,29,70,40,29,66,140,4,Good
Perundurai,2023-03-17,City Road,Weekend,Cloudy,568,1223,3078,353,3993,543,932,67,365,57,428,42,25,3,Minor,59,239,156,23,4,358,76,1,1,0,0,1,1,45,36,40,1,1,0,0,Medium,53,43,84,92,9,61,318,3,Poor
Vellode,2023-03-18,Village Road,Weekday,Clear,1855,1374,641,1018,3827,940,1434,109,177,102,349,25,116,2,Major,48,142,108,8,3,177,99,1,1,0,1,0,1,39,20,29,1,0,1,0,High,81,37,79,99,9,62,172,9,Poor
Thalavadi,2023-03-19,City Road,Weekend,Cloudy,520,3086,3348,342,4120,1699,1484,515,393,441,580,50,112,0,,73,168,81,24,5,226,72,1,1,1,1,1,0,32,91,28,1,0,1,1,Medium,37,36,91,77,8,64,323,3,Average
Modakurichi,2023-03-20,Village Road,Weekday,Rainy,2036,2067,3007,1254,2985,657,189,689,328,224,298,57,174,2,Major,63,67,144,24,1,775,90,0,0,0,1,1,0,26,43,32,0,1,1,1,High,45,24,49,82,23,62,244,2,Good
Nambiyur,2023-03-21,NH,Weekday,Fog,2916,2224,3397,250,3234,606,471,199,266,62,325,29,118,3,Major,83,80,171,29,3,729,93,0,1,1,1,1,0,26,83,22,1,1,1,1,High,39,14,111,70,17,43,57,7,Poor
Chennimalai,2023-03-22,City Road,Weekday,Rainy,1297,2232,3147,1239,3683,1333,221,468,71,269,405,37,196,3,,85,127,167,15,2,95,70,0,0,0,1,0,0,33,106,39,0,1,0,1,Medium,74,37,134,64,9,73,362,2,Good
Erode,2023-03-23,Village Road,Weekday,Rainy,2125,2939,2481,1468,3320,2046,1721,251,307,488,490,42,262,2,,53,285,126,13,3,828,94,1,0,0,1,1,0,35,12,30,0,0,1,0,High,55,28,46,68,13,75,335,6,Average
Vellode,2023-03-24,SH,Weekday,Hot,434,2777,2583,665,4720,2165,1709,759,82,379,579,45,118,2,,52,127,156,11,2,907,38,1,1,0,1,0,1,49,85,30,0,1,0,1,Medium,97,14,132,64,6,53,65,1,Good
Gobichettipalayam,2023-03-25,City Road,Weekday,Rainy,370,2613,1479,886,1309,1382,1048,658,156,444,346,16,197,0,Minor,68,281,75,16,5,759,74,0,1,1,0,1,0,10,100,35,0,1,1,1,Medium,81,12,84,72,15,66,65,7,Poor
Bhavani Sagar,2023-03-26,City Road,Weekday,Hot,2821,2770,2291,242,2891,2456,1490,564,394,197,677,30,126,0,Minor,95,281,142,27,2,1137,78,1,0,0,0,0,1,13,0,36,1,0,1,0,Medium,75,11,101,78,9,43,105,6,Average
Nasiyanur,2023-03-27,City Road,Weekend,Fog,882,1200,2667,655,1730,809,378,99,208,235,173,67,60,0,Minor,81,69,122,23,1,1161,56,0,0,0,1,1,0,34,42,38,1,1,1,0,Low,53,30,103,60,20,48,165,1,Average
Vellode,2023-03-28,City Road,Weekend,Fog,2921,1054,800,1262,1765,1327,386,233,338,279,570,50,189,1,Major,74,129,198,12,3,1173,29,1,1,1,1,0,1,46,53,32,1,0,0,1,Medium,66,9,77,99,24,72,101,7,Average
Bhavani Sagar,2023-03-29,NH,Weekend,Cloudy,1966,2863,1419,1079,1859,610,1372,722,306,310,586,21,139,2,Major,99,137,69,21,3,944,11,1,0,1,1,1,1,46,3,29,0,0,0,0,High,90,20,78,41,5,93,133,8,Poor
Arachalur,2023-03-30,City Road,Weekday,Cloudy,2522,1721,3187,712,3639,261,1096,749,43,186,665,48,154,4,Minor,94,240,151,15,1,382,83,0,0,0,1,1,0,29,19,30,1,1,1,1,Low,42,26,55,41,9,60,213,1,Good
Solar,2023-03-31,City Road,Weekday,Clear,1168,785,2480,1357,1477,1315,1095,322,87,99,586,46,36,0,,57,63,165,7,1,121,76,1,1,1,0,0,1,30,25,36,0,0,1,1,Low,52,30,144,50,24,89,271,5,Poor
Sivagiri,2023-04-01,NH,Weekday,Cloudy,2607,2002,2168,433,3678,297,869,367,77,196,273,67,104,0,Major,92,224,114,15,5,835,54,1,0,0,1,0,0,17,63,36,1,0,0,0,Low,31,35,49,41,22,61,347,8,Average
Solar,2023-04-02,City Road,Weekend,Rainy,727,3163,1237,890,1099,2257,1202,473,233,459,590,49,57,2,,46,226,167,19,5,776,93,0,0,0,1,0,0,22,107,26,0,1,0,1,Medium,75,7,68,59,20,85,368,8,Poor
Alangiyam,2023-04-03,Village Road,Weekday,Hot,2587,2680,2487,617,2600,1795,1579,222,358,99,831,16,224,4,Major,73,160,93,9,5,699,97,1,0,1,1,0,1,40,90,21,0,0,0,0,Medium,55,7,46,87,25,87,23,4,Poor
Vellode,2023-04-04,City Road,Weekday,Fog,2852,3236,1701,485,4441,2172,1228,327,206,505,576,67,31,4,Minor,50,287,151,17,1,328,17,1,1,0,1,0,0,17,64,34,1,0,1,0,Medium,65,19,149,98,16,76,371,9,Poor
Poondurai,2023-04-05,SH,Weekday,Cloudy,496,476,3955,829,2646,307,620,499,111,592,652,69,45,3,,46,156,56,8,1,953,77,1,0,1,0,1,1,32,106,41,1,1,1,1,High,47,23,84,92,10,97,192,4,Average
Arachalur,2023-04-06,SH,Weekend,Cloudy,2725,1925,3330,1328,1269,2026,209,286,264,134,417,34,112,0,Major,64,174,44,15,3,158,93,1,0,1,1,1,1,35,44,23,0,1,1,1,Medium,96,15,132,44,29,96,353,4,Poor
Bhavani Sagar,2023-04-07,SH,Weekday,Hot,2702,2111,3987,1117,4486,837,532,301,178,461,369,54,271,3,Minor,58,276,50,23,1,1193,81,0,0,0,0,1,0,16,36,28,0,1,0,0,Low,62,24,62,42,26,47,261,2,Good
Kavindapadi,2023-04-08,NH,Weekday,Clear,2667,1550,1782,1203,2365,1214,452,519,287,532,720,44,242,4,,61,279,91,6,5,339,74,0,0,0,0,1,1,0,43,37,0,0,0,0,High,57,17,57,78,11,60,253,2,Poor
Alangiyam,2023-04-09,SH,Weekend,Rainy,1046,671,1888,843,3726,863,1704,323,31,83,115,21,223,4,Major,70,143,103,12,1,374,43,0,0,0,0,1,0,22,64,27,1,1,1,1,Low,40,5,78,50,11,64,322,3,Poor
Erode,2023-04-10,Village Road,Weekday,Clear,2375,1756,3046,435,3011,1525,1197,602,346,511,465,18,260,1,Major,89,79,89,9,4,79,49,0,0,0,1,0,0,30,57,25,1,1,1,0,High,73,26,92,77,7,98,36,5,Average
Alangiyam,2023-04-11,NH,Weekday,Cloudy,2597,1934,3675,635,4370,1060,482,596,264,69,184,68,238,0,Minor,58,135,156,7,5,474,94,0,0,0,0,1,1,3,43,41,1,1,0,1,High,34,5,89,81,27,41,183,7,Poor
Nambiyur,2023-04-12,NH,Weekday,Rainy,1945,2235,2297,440,4369,883,1116,772,346,126,243,24,256,1,Major,95,125,197,19,4,898,81,1,1,0,1,0,0,28,96,35,0,1,0,1,High,76,22,117,81,18,86,107,4,Good
Bhavani Sagar,2023-04-13,City Road,Weekday,Clear,434,3087,3567,1452,1725,1472,1803,482,339,199,879,49,201,2,Minor,84,215,89,6,3,778,98,1,0,1,0,1,0,8,99,22,0,0,0,1,Medium,48,31,103,83,24,99,391,9,Good
Nambiyur,2023-04-14,SH,Weekday,Hot,1978,1046,2205,1432,3573,1624,914,702,22,597,323,39,267,2,Major,60,193,143,19,4,1008,76,1,0,1,1,1,0,15,26,20,0,1,1,1,High,79,28,83,87,15,68,174,3,Average
